"insee_dep","lib_france_services","adresse","adresse_cplmt","insee_com","code_postal","lib_com","type_structure","lib_structure","h_lundi","h_mardi","h_mercredi","h_jeudi","h_vendredi","h_samedi","itinerance","lat","long","result_label","result_score","result_postcode","result_city","result_citycode"
"01","Valserhône ","9 Rue des Papetiers ",,,"01200","VALSERHÔNE",,,,,,,,,,"46.105747","5.825644","9 Rue des Papetiers 01200 Valserhône","0.95","01200","Valserhône","01033"
"01","Saint-Trivier-de-Courtes","22 ESPLANADE DE LA POSTE",,,"01560","Saint-Trivier-de-Courtes","La Poste",,,,,,,,,"46.45916","5.083785","22 Esplanade de la Poste 01560 Saint-Trivier-de-Courtes","0.94","01560","Saint-Trivier-de-Courtes","01388"
"02","Maison France Services Thiérache Sambre et Oise","6 rue André Godin",,,"02120","GUISE","Collectivité","Communauté de communes  Thiérache Sambre et Oise","9h30 – 12h15 / 13h45 – 16h30","9h30 – 12h15 / 13h45 – 16h30",,"9h30 – 12h15 / 13h45 – 16h30","9h30 – 12h15 / 13h45 – 16h30",,"Oui","49.901471","3.626688","6 Rue André Godin 02120 Guise","0.95","02120","Guise","02361"
"02","Maison France Services de Ribemont","12 place du Château",,,"02240","RIBEMONT","Collectivité","Communauté de communes du Val de l’Oise","8h30 – 12h / 13h30 – 17h","8h30 – 12h / 13h30 – 17h","8h – 12h30","8h30 – 12h / 13h30 – 17h","8h30 – 12h / 13h30 – 17h",,,"49.797043","3.457978","12 Place du Château 02240 Ribemont","0.94","02240","Ribemont","02648"
"02","Espace France Services de Vailly-sur-Aisne","10 bis place Edouard Hériot",,,"02370","VAILLY-SUR-AISNE","Collectivité","Commune de Vailly-sur-Aisne","9h - 12h / 14h00 – 17h00","9h - 12h / 14h00 – 17h00","9h - 12h / 14h00 – 17h00","9h - 12h / 14h00 – 17h00","9h - 12h / 14h00 – 17h00",,,"49.4108","3.516475","10 bis Place Edouard Herriot 02370 Vailly-sur-Aisne","0.92","02370","Vailly-sur-Aisne","02758"
"02","Espace France Services de Saint-Erme","2 bis route de Montaigu",,,"02820","SAINT-ERME","Collectivité","Communauté de communes de la Champagne Picarde","9h - 12h / 13h15 – 17h30","9h - 12h / 13h15 – 17h30","9h - 12h / 13h15 – 17h30","9h - 12h / 13h15 – 17h30","9h - 12h / 13h15 – 17h",,,"49.535162","3.832202","Rue de Saint-erme 02820 Montaigu","0.63","02820","Montaigu","02498"
"03","Bus numérique du Conseil départemental de l’Allier","1 Avenue Victor Hugo",,,"03000","MOULINS","Collectivité","Conseil départemental de l’Allier",,,,,,,"Oui","46.568527","3.333844","1 Avenue Victor Hugo 03000 Moulins","0.95","03000","Moulins","03190"
"03","Espace France Services Le Montet","1 Place du Huit Mai",,,"03240","LE MONTET","Collectivité","Communauté de communes du bocage bourbonnais","9h - 12h / 14h – 18h","9h - 12h / 14h – 18h","9h - 12h / 14h – 18h","9h - 12h / 14h – 18h","9h – 12h","9h – 12h le premier samedi de chaque mois",,"46.409034","3.056601","1 Place du Huit Mai 03240 Le Montet","0.94","03240","Le Montet","03183"
"03","Espace France Services Dompierre sur Besbre","Place des Trois Platanes","Espace Boudeville",,"03290","DOMPIERRE-SUR-BESBRE","Collectivité","Communauté de communes entr’allier besbre et loire","9h - 12h / 13h30 – 17h","9h - 12h / 13h30 – 17h","9h - 12h / 13h30 – 17h","9h - 12h / 13h30 – 17h","9h – 12h",,,"46.518318","3.684063","Place des 3 Platanes 03290 Dompierre-sur-Besbre","0.61","03290","Dompierre-sur-Besbre","03102"
"03","Espace France Services Huriel","6 rue des Calaubys",,,"03380","HURIEL","Collectivité","Communauté de communes du pays d’Huriel","9h - 12h / 13h30 – 17h30","8h30 - 12h / 14h – 17h","8h30 - 12h / 13h30 – 17h","8h - 12h / 14h – 17h","9h - 12h / 13h30 – 17h30",,,"46.373106","2.475106","6 Rue des Calaubys 03380 Huriel","0.94","03380","Huriel","03128"
